Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),OBSERVATONS ,COMENTARIOS,octobre
1205663105048763,2023-11-05,,2023-11-17,RECTA FINAL : ,Untitled section,,,,2023-11-17,,"

4. Instalación eléctrica de área social 

B. Cocina 
5. Limpiado de techo de pintura y de paredes con pintura 
6. Limpiado de adoquín ladrillo circular 
7. Limpiado de gas 
8. Limpiado de enchapado de poseta negra 
9. Emparejado de textura y color en pared de lavandería 
10. Aplicación de acronal en todas las paredes de la cocina , para el no desmoronamiento y sucedías de muros , tanto arriba como abajo . 
11. Dilatación echa con pulidora entre la unión de pared y el adoquín circular . 

12. Instalación eléctrica de cocina ( 4 lámparas en corredor , 4 lámparas en áreas de coxion , cintas led y neon ) 

13. Instalación de campaña 

14. Instalación de extractor 

15. Pintura emparejada de todo el techo 

D. Corredores ; 
15. Pinturas de textos y paredes 

16. Relleno de hueco a el lado del bano 

17. Instalación de puertas 

E. Habitación pequeña 
18. Pulida de techo 

19. Resane , estuco de pared en closet 

20. Pintura de closet 

21. Instalación de closet 

22 . Puesta de jarrones 

F. Habitación doble 
23. Lijada de paredes y cal blanca 

24. Pintada de matera 

25. Corrección de lámparas 
Actuales e instalación de las que hacen falta 

26. Instalación de mobiliario 

27. Pintura de closet interior 

28. Instalación de closet 

29. Trabar de hueco en vestier 

30. Pintura en vestier 

31 . Instalación de vestier 

32 . Pintura de baño 

33 instalación de iluminación de baño 

34. Cuadro en baño 

Escaleras 

35. Arreglo de vidrio en escaleras 

E. Cine 

35. Resane de paredes 

36. Pintura de paredes 

27 . Quitada de elementos de dry walk 

28 limpieza de techo y de pintura en bordes 

29. Estuco y lijada de borde en vidrio que da hacia el vano del acceso 

30. Instalación luminarias de vano 

31. Instalación de mobiliario 

32. Instalación de iluminación 

33. Limpieza de vidrio de escaleras 

F. Habitacion principal : 
34 . Arreglo de enchape de piedra (no a lo que está haciendo Alejandro eso no ) 

35. Instalación de mobiliario 

36. Acabado de techo 

37.  Instalación de iluminación 

Vestier 

38 . A Alejandro no se le paga este techo , y pienso que se le debe cobrar la pintura para que otro lo arregle , 
Compra de perfiles para arreglar el techo por parte de install dry wall 
39 . Instalcion de mobiliario 
40. Instalación de vidrios 


G. BAÑO 
41 . Demolición de baño 
Estuvo rústico tipo piedra en ves de lo que está ahora . 

42. Evaluación de cómo alabar el enchapé caro 

43. Instalación de accesorios de baño 

44. Instalación de mueble 

45. Instalación de espejos 

46. Instalación sanitaria 

cierre do obra.


47. Recorrido por la casa revisando detalles 

48 . Correcciones de detalles 

49 . Puerta vidriera de balcón 

50. Pulida de piso y limpieza piso 

51. Limpieza a fondo de todo el apartamento 

52. Colocación de mobiliario 

53. Colocación de 70 plantas en la residencia 

54. colocación de detalles 

55. Limpieza general del apartamento 

56. Styling, toque finales para fotografias 

57. Entrega de apartamento 

58. Detalla miento con el cliente 

59. Corrección de detalles pedidos por el cliente . 

60. Arreglo de apartamento de alejandea vecina 

61. Limpieza de mobiliario Alejandra vecina 

62. Arreglo de piso unidad",ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205663105048762,2023-10-03,,2023-10-25,Botanic arrival ,Untitled section,Aleja Guerra lotero,,,2023-10-25,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205663105048761,2023-10-03,,2023-10-18,KITCHEN ARRIVAL ,Untitled section,,,,2023-10-18,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205514217171320,2023-09-17,,2023-09-17,cotniue bathroom ,Untitled section,,,,2023-09-18,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205468771628062,2023-09-11,,2023-09-11,compra de,Untitled section,,,,2023-09-11,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205468771628061,2023-09-11,,2023-09-11,Fredi bano principal ,Untitled section,,,,2023-09-20,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205468771628060,2023-09-11,,2023-09-11,Enchape de dry wall y lavanderia l;,Untitled section,,,,2023-10-02,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205468771628057,2023-09-11,,2023-09-13,mesa de sala y comedor  ,Untitled section,,,,2023-09-11,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205443780389018,2023-09-07,,2023-09-17,ROCSANA BOTÁNICA,Untitled section,,,,2023-10-24,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205443780389017,2023-09-07,,2023-09-17,ROCSANA BOTÁNICA,Untitled section,,,,2023-10-23,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205443780389011,2023-09-07,,2023-09-17,ROCSANA BOTÁNICA,Untitled section,,,,2023-10-21,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205418913711871,2023-09-04,,2023-09-13,Fabricación de puerta y material de vidrio.,Untitled section,,,,2023-09-06,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
1205418913711870,2023-09-04,,2023-09-13,Comprar antigüedades,Untitled section,,,,2023-09-27,,,ALUZINA WORKFLOW FOR EVERY PROJECT,,,,,,
