Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),DELVERY DATE ,OBSERVATONS ,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,SEMANA 5,SEMANA 1,SEMANA 2,COMENTARIOS,octobre
1215258003746641,2026-05-29,,2026-05-29,CONTRATO ,Cierre de cliente Primer pago de diseño,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215258003746643,2026-05-29,,2026-05-29,FACTURACION ,Cierre de cliente Primer pago de diseño,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215258003746645,2026-05-29,,2026-05-29,SUBIR FOTOGRAFIAS DE ESPACIO Y REFERENCIA A DROPBOX ,Cierre de cliente Primer pago de diseño,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259782653021,2026-05-29,,2026-05-29,1. Investigacion,DISEÑO,Aleja Guerra lotero,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259782653029,2026-05-29,,2026-05-29,2. Conceptualizacion ,DISEÑO,Aleja Guerra lotero,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619780041,2026-05-29,,2026-09-21,3. 2D Acad Model,DISEÑO,Saray,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619780048,2026-05-29,,2026-05-29,4. Definir zonas y areas ,DISEÑO,Aleja Guerra lotero,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619780064,2026-05-29,,2026-05-29,ZONAS:   ,,,,,,,,,4. Definir zonas y areas ,,,,,,,,,,,,,,,,,
1215259619780069,2026-05-29,,2026-05-29,AREAS:,,,,,,,,,4. Definir zonas y areas ,,,,,,,,,,,,,,,,,
1215259619780056,2026-05-29,,2026-05-29,5. Experiencia de Usuario en cada espacio ,DISEÑO,Aleja Guerra lotero,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,"M, T, W"
