Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),DELVERY DATE ,OBSERVATONS ,COMENTARIOS,Start Date,Status
1205097047211166,2023-07-19,,2023-07-31,1. Investigations,DESIGN,Aleja Guerra lotero,,,2023-07-02,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,Complete
1205097047211168,2023-07-19,,2025-03-07,2. Conceptualization,DESIGN,Aleja Guerra lotero,,,2023-07-05,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205097047211170,2023-07-19,,2025-03-07,3. 2D Acad Model,DESIGN,Aleja Guerra lotero,,,2023-07-05,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205097047211172,2023-07-19,,2025-03-07,4. Define Areas and Zonifications,DESIGN,Aleja Guerra lotero,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205097047211174,2023-07-19,,2025-03-07,5. User experience in each space,DESIGN,Aleja Guerra lotero,,,2023-07-20,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,2023-07-20,,,,
1205087819641310,2023-07-18,,2026-05-17,First Design Meeting with the Client,DESIGN,Aleja Guerra lotero,,,2023-07-21,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,2023-07-27,,,,
1205087819641346,2023-07-18,,2026-05-17,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,,,First Design Meeting with the Client,,,,,,,
1205087819641352,2023-07-18,,2023-07-18,ZONE 1  : ENTRANCE,,,,,,,,,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,
1205087819641353,2023-07-18,,2023-07-18,ZONE 2  : DINNING AREA ,,,,,,,,,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,
1205087819641354,2023-07-18,,2023-07-18,ZONE 3 : BALCONY ,,,,,,,,,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,
1205087819641355,2023-07-18,,2023-07-18,ZONE 4 : LIVING ROOM ,,,,,,,,,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,
1205087819641356,2023-07-18,,2026-05-17,ZONE  5: KITCHEN ,,,,,,,,,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,
